,nivel_senioridade,horas_trab_dias,nivel_fadiga_mental,taxa_burnout,dias_empresa,ambi_dome_favoravel_No,ambi_dome_favoravel_Yes,genero_Female,genero_Male,tipo_empresa_Product,tipo_empresa_Service
0,2.0,3.0,3.8,0.16,5341,1,0,1,0,0,1
1,1.0,2.0,5.0,0.36,5280,0,1,0,1,0,1
2,2.0,4.0,5.8,0.49,5545,0,1,1,0,1,0
3,1.0,1.0,2.6,0.2,5307,0,1,0,1,0,1
4,3.0,7.0,6.9,0.52,5409,1,0,1,0,0,1
5,2.0,4.0,3.6,0.29,5284,0,1,0,1,1,0
6,3.0,6.0,7.9,0.62,5613,1,0,1,0,0,1
7,2.0,4.0,4.4,0.33,5310,0,1,1,0,0,1
8,3.0,6.0,5.9,0.56,5253,1,0,1,0,0,1
9,3.0,6.0,5.9,0.67,5546,1,0,1,0,1,0
10,2.0,3.0,5.3,0.5,5539,0,1,0,1,1,0
11,0.0,1.0,1.8,0.12,5482,0,1,0,1,0,1
12,2.0,5.0,5.9,0.4,5595,0,1,0,1,0,1
13,1.0,3.0,5.9,0.33,5561,1,0,1,0,1,0
14,1.0,3.0,5.8,0.51,5480,0,1,0,1,1,0
15,3.0,5.0,4.7,0.32,5581,0,1,1,0,0,1
16,1.0,2.0,5.9,0.39,5538,0,1,0,1,0,1
17,3.0,6.0,6.7,0.59,5527,1,0,0,1,0,1
18,2.0,4.0,4.0,0.22,5465,0,1,1,0,1,0
19,3.0,5.0,5.9,0.68,5436,1,0,1,0,0,1
20,2.0,4.0,7.6,0.57,5371,1,0,0,1,1,0
21,1.0,3.0,6.3,0.47,5600,0,1,0,1,0,1
22,1.0,3.0,6.7,0.46,5490,0,1,0,1,0,1
23,3.0,4.0,7.7,0.61,5293,0,1,1,0,1,0
24,3.0,8.0,5.9,0.91,5357,1,0,1,0,0,1
25,3.0,4.0,5.8,0.4,5332,0,1,1,0,0,1
26,2.0,4.0,6.6,0.44,5330,1,0,0,1,0,1
27,2.0,4.0,7.4,0.6,5353,1,0,1,0,0,1
28,2.0,5.0,6.7,0.46,5355,1,0,1,0,0,1
29,2.0,4.0,5.9,0.45,5284,0,1,1,0,0,1
30,1.0,2.0,3.6,0.2,5482,0,1,1,0,1,0
31,1.0,2.0,3.9,0.2,5264,0,1,1,0,0,1
32,0.0,1.0,3.0,0.19,5330,1,0,1,0,0,1
33,1.0,3.0,4.7,0.31,5545,1,0,0,1,0,1
34,4.0,8.0,8.7,0.81,5491,1,0,0,1,1,0
35,3.0,5.0,4.4,0.39,5398,0,1,0,1,0,1
36,3.0,6.0,5.8,0.42,5402,0,1,1,0,0,1
37,0.0,2.0,3.9,0.19,5446,0,1,1,0,1,0
38,3.0,7.0,6.6,0.56,5496,0,1,1,0,0,1
39,4.0,7.0,7.3,0.53,5311,1,0,1,0,0,1
40,3.0,5.0,5.9,0.5,5557,0,1,1,0,0,1
41,1.0,3.0,5.4,0.33,5441,0,1,1,0,1,0
42,2.0,5.0,5.0,0.45,5566,1,0,0,1,0,1
43,2.0,3.0,6.0,0.36,5439,0,1,1,0,0,1
44,3.0,6.0,7.5,0.59,5272,0,1,1,0,0,1
46,4.0,10.0,10.0,0.94,5513,1,0,0,1,0,1
48,3.0,4.0,7.7,0.61,5393,1,0,1,0,1,0
49,1.0,3.0,6.0,0.37,5374,0,1,1,0,1,0
50,2.0,6.0,7.4,0.65,5534,1,0,0,1,0,1
51,2.0,5.0,6.4,0.49,5411,0,1,1,0,0,1
53,1.0,3.0,5.6,0.38,5592,0,1,0,1,0,1
54,2.0,5.0,7.4,0.62,5332,1,0,0,1,1,0
55,3.0,5.0,6.1,0.39,5361,0,1,1,0,1,0
56,2.0,4.0,3.1,0.15,5468,0,1,1,0,1,0
57,2.0,5.0,8.0,0.61,5258,1,0,0,1,0,1
58,1.0,2.0,4.0,0.26,5516,1,0,1,0,1,0
59,2.0,2.0,3.6,0.28,5258,1,0,1,0,0,1
60,2.0,5.0,8.7,0.71,5559,0,1,0,1,1,0
61,3.0,4.0,8.0,0.68,5500,1,0,0,1,1,0
62,3.0,5.0,6.8,0.57,5607,1,0,1,0,0,1
63,2.0,3.0,4.9,0.39,5290,0,1,1,0,0,1
64,3.0,6.0,7.9,0.61,5360,1,0,1,0,1,0
65,3.0,6.0,7.6,0.62,5452,1,0,0,1,1,0
66,5.0,9.0,9.2,0.8,5556,1,0,1,0,0,1
