nivel_senioridade,horas_trab_dias,nivel_fadiga_mental,taxa_burnout,ambi_dome_favoravel_No,ambi_dome_favoravel_Yes,tipo_empresa_Product,tipo_empresa_Service,genero_Female,genero_Male
2.0,3.0,3.8,0.16,1,0,0,1,1,0
1.0,2.0,5.0,0.36,0,1,0,1,0,1
2.0,4.0,5.8,0.49,0,1,1,0,1,0
1.0,1.0,2.6,0.2,0,1,0,1,0,1
3.0,7.0,6.9,0.52,1,0,0,1,1,0
2.0,4.0,3.6,0.29,0,1,1,0,0,1
3.0,6.0,7.9,0.62,1,0,0,1,1,0
2.0,4.0,4.4,0.33,0,1,0,1,1,0
3.0,6.0,5.9,0.56,1,0,0,1,1,0
3.0,6.0,5.9,0.67,1,0,1,0,1,0
2.0,3.0,5.3,0.5,0,1,1,0,0,1
0.0,1.0,1.8,0.12,0,1,0,1,0,1
2.0,5.0,5.9,0.4,0,1,0,1,0,1
1.0,3.0,5.9,0.33,1,0,1,0,1,0
1.0,3.0,5.8,0.51,0,1,1,0,0,1
3.0,5.0,4.7,0.32,0,1,0,1,1,0
1.0,2.0,5.9,0.39,0,1,0,1,0,1
3.0,6.0,6.7,0.59,1,0,0,1,0,1
2.0,4.0,4.0,0.22,0,1,1,0,1,0
3.0,5.0,5.9,0.68,1,0,0,1,1,0
2.0,4.0,7.6,0.57,1,0,1,0,0,1
1.0,3.0,6.3,0.47,0,1,0,1,0,1
1.0,3.0,6.7,0.46,0,1,0,1,0,1
3.0,4.0,7.7,0.61,0,1,1,0,1,0
3.0,8.0,5.9,0.91,1,0,0,1,1,0
3.0,4.0,5.8,0.4,0,1,0,1,1,0
2.0,4.0,6.6,0.44,1,0,0,1,0,1
2.0,4.0,7.4,0.6,1,0,0,1,1,0
2.0,5.0,6.7,0.46,1,0,0,1,1,0
2.0,4.0,5.9,0.45,0,1,0,1,1,0
1.0,2.0,3.6,0.2,0,1,1,0,1,0
1.0,2.0,3.9,0.2,0,1,0,1,1,0
0.0,1.0,3.0,0.19,1,0,0,1,1,0
1.0,3.0,4.7,0.31,1,0,0,1,0,1
4.0,8.0,8.7,0.81,1,0,1,0,0,1
3.0,5.0,4.4,0.39,0,1,0,1,0,1
3.0,6.0,5.8,0.42,0,1,0,1,1,0
0.0,2.0,3.9,0.19,0,1,1,0,1,0
3.0,7.0,6.6,0.56,0,1,0,1,1,0
4.0,7.0,7.3,0.53,1,0,0,1,1,0
3.0,5.0,5.9,0.5,0,1,0,1,1,0
1.0,3.0,5.4,0.33,0,1,1,0,1,0
2.0,5.0,5.0,0.45,1,0,0,1,0,1
2.0,3.0,6.0,0.36,0,1,0,1,1,0
3.0,6.0,7.5,0.59,0,1,0,1,1,0
2.0,3.0,5.9,58950259633.48187,0,1,0,1,0,1
4.0,10.0,10.0,0.94,1,0,0,1,0,1
3.0,6.0,5.9,58950259633.464165,0,1,1,0,1,0
3.0,4.0,7.7,0.61,1,0,1,0,1,0
1.0,3.0,6.0,0.37,0,1,1,0,1,0
2.0,6.0,7.4,0.65,1,0,0,1,0,1
2.0,5.0,6.4,0.49,0,1,0,1,1,0
1.0,2.0,5.1,58950259633.473946,1,0,0,1,1,0
1.0,3.0,5.6,0.38,0,1,0,1,0,1
2.0,5.0,7.4,0.62,1,0,1,0,0,1
3.0,5.0,6.1,0.39,0,1,1,0,1,0
2.0,4.0,3.1,0.15,0,1,1,0,1,0
2.0,5.0,8.0,0.61,1,0,0,1,0,1
1.0,2.0,4.0,0.26,1,0,1,0,1,0
2.0,2.0,3.6,0.28,1,0,0,1,1,0
2.0,5.0,8.7,0.71,0,1,1,0,0,1
3.0,4.0,8.0,0.68,1,0,1,0,0,1
3.0,5.0,6.8,0.57,1,0,0,1,1,0
2.0,3.0,4.9,0.39,0,1,0,1,1,0
3.0,6.0,7.9,0.61,1,0,1,0,1,0
3.0,6.0,7.6,0.62,1,0,1,0,0,1
5.0,9.0,9.2,0.8,1,0,0,1,1,0
4.0,6.0,6.5,0.63,0,1,0,1,0,1
3.0,5.0,6.8,0.6,1,0,0,1,1,0
4.0,8.0,8.7,0.79,1,0,1,0,1,0
2.0,5.0,6.2,0.39,0,1,0,1,0,1
3.0,5.0,5.8,0.36,1,0,0,1,1,0
2.0,4.0,6.6,0.5,1,0,1,0,1,0
4.0,7.0,8.2,0.72,1,0,1,0,0,1
2.0,3.0,4.9,0.34,0,1,0,1,1,0
1.0,2.0,4.1,0.27,1,0,0,1,1,0
3.0,7.0,7.4,0.66,1,0,0,1,0,1
0.0,1.0,5.9,0.04,0,1,1,0,1,0
1.0,2.0,4.4,0.27,0,1,0,1,0,1
2.0,6.0,6.9,0.67,1,0,0,1,1,0
1.0,2.0,5.3,0.38,0,1,1,0,1,0
2.0,2.0,4.3,0.28,0,1,0,1,1,0
0.0,1.0,0.8,0.05,0,1,1,0,0,1
2.0,4.0,2.9,0.22,0,1,0,1,1,0
1.0,3.0,5.0,0.39,0,1,0,1,1,0
1.0,4.0,6.9,0.52,0,1,0,1,0,1
3.0,5.0,4.7,0.39,1,0,0,1,1,0
1.0,3.0,2.0,0.11,1,0,0,1,1,0
2.0,4.0,5.4,0.44,1,0,0,1,1,0
2.0,5.0,6.1,0.5,1,0,1,0,0,1
1.0,4.0,5.1,0.41,0,1,1,0,1,0
1.0,2.0,3.8,58950259633.47039,0,1,0,1,1,0
4.0,9.0,5.9,0.76,1,0,1,0,0,1
3.0,5.0,4.7,0.43,0,1,0,1,1,0
3.0,5.0,5.4,0.46,0,1,0,1,0,1
4.0,7.0,9.1,0.85,1,0,0,1,1,0
1.0,3.0,5.0,0.35,0,1,0,1,0,1
1.0,1.0,0.0,0.0,1,0,1,0,0,1
2.0,4.0,4.3,0.34,0,1,1,0,0,1
2.0,4.0,6.7,0.44,0,1,0,1,1,0
2.0,5.0,5.7,0.55,1,0,1,0,1,0
4.0,6.0,6.8,0.62,0,1,0,1,0,1
3.0,6.0,7.6,0.72,1,0,0,1,0,1
3.0,8.0,8.3,0.71,0,1,1,0,0,1
1.0,3.0,5.5,0.39,1,0,1,0,1,0
1.0,3.0,5.3,0.48,1,0,0,1,1,0
3.0,7.0,8.0,0.7,1,0,0,1,1,0
4.0,6.0,6.4,0.56,0,1,0,1,0,1
1.0,3.0,3.6,0.27,0,1,0,1,1,0
2.0,5.0,7.0,0.66,0,1,1,0,1,0
3.0,7.0,7.6,0.56,1,0,1,0,1,0
2.0,5.0,8.7,0.79,1,0,0,1,0,1
0.0,1.0,2.6,0.18,0,1,1,0,1,0
2.0,4.0,4.7,0.33,0,1,0,1,1,0
2.0,4.0,6.4,0.4,0,1,0,1,0,1
2.0,5.0,5.8,0.39,1,0,0,1,1,0
1.0,1.0,3.3,0.23,1,0,0,1,1,0
2.0,4.0,5.9,0.45,0,1,1,0,1,0
2.0,4.0,7.8,0.67,1,0,1,0,1,0
1.0,3.0,7.0,0.52,0,1,1,0,0,1
4.0,7.0,7.2,0.6,1,0,0,1,1,0
3.0,7.0,7.9,0.59,0,1,0,1,0,1
